Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,2.3146038407834806,1.4145927394745668,39.927821892896276,52.72105001581349
2,1.23953391756441,9.036463645152274,56.51523195264935,3.3660145484118735
3,1.0559777444262861,1.716503353821749,60.90183099705188,45.81507251615235
4,0.9493251346189019,0.8628643637447688,63.69717951903853,66.53978222563593
5,0.8713783259464163,0.7973978350617293,65.9797133207577,68.3368725432612
6,0.8129778762435844,0.7681881059284155,67.79207283324486,69.78041837979488
7,0.7636482511180206,0.747295841488535,69.23535258835888,70.85234717390323
8,0.7262675383912125,0.7137345836169458,70.45950006212513,71.58654497808702
9,0.6920100101978287,0.6758139269975568,71.47552834600309,72.79966565761532
10,0.667370060322127,0.666432171155607,72.28767324440027,73.12384222653955
11,0.6446076505852814,0.6487465080067601,72.88068586144966,73.9382370216419
12,0.6225659429466935,0.6255229557783617,73.53780031853249,74.70067320290968
13,0.6039823368326351,0.6212154849933061,74.15312150546136,74.9638548773325
14,0.5904117800567311,0.6137608812981947,74.64023901232336,75.26318167442281
15,0.5753280094030061,0.6026304216915472,75.03416882222047,75.56702661184656
16,0.564538167074005,0.5998343063916775,75.37303317482012,75.84489224235304
17,0.5505561998250642,0.5913360398801076,75.76893969344071,76.2131206795283
18,0.5407614439327363,0.5842880526116129,75.95644463521252,76.34640581936475
19,0.532531034625477,0.5792710098917084,76.32495961866465,76.67510052862242
20,0.5236011115887297,0.5862660842565443,76.49495656888547,76.39045768761578
21,0.5164257719181141,0.5728732345335056,76.64688075363432,76.85243753670989
22,0.5055790799089317,0.5745020748649029,77.12213800815533,76.8829349839606
23,0.49885819393523473,0.571300519382678,77.23170414882922,77.18113224596756
24,0.4934578302602799,0.574546427783594,77.455354621545,77.15628247413365
25,0.48687697367027083,0.5700522361893874,77.49093537856795,76.9360231328785
26,0.48117385904281457,0.5783248978284742,77.76146208672668,77.00718384313016
27,0.47597494806500606,0.5657816047785599,77.9523556720245,77.29973342972033
28,0.47239195095273534,0.5704744523875631,78.00064384226994,77.3257127366376
29,0.4648702777343232,0.5620338830644684,78.19633800589624,77.54371300772603
30,0.4635269714685653,0.5768030572015082,78.2251414758672,77.01960872904712
31,0.45899287879165435,0.5630837924821528,78.30392743784662,77.69394117381286
32,0.4534356876599216,0.573275172340043,78.58772633314884,77.48045904305788
33,0.4015109005024341,0.5476088785496406,80.22331160836318,78.73650205575385
34,0.3848650435387636,0.5494507629790403,80.80389919915058,78.72520670492025
35,0.3781792781264247,0.5596983192886921,80.89143915690549,78.89237789725749
36,0.37185835902403097,0.5557751454671339,81.20799493962566,78.99516558984323
37,0.34609489994851267,0.5600931480139322,82.19013678824366,79.35548728143496
38,0.33709451619213915,0.5596734843071486,82.42705944810292,79.38033705326887
39,0.33299163622053946,0.561654217325883,82.6436502468062,79.4944200966882
40,0.31897038963993923,0.5669312604805293,83.08812732263274,79.64464826277504
41,0.31454092203321377,0.5736812057694948,83.2383571856186,79.7045136221931
42,0.31246860360610257,0.5784872421467235,83.333521591307,79.52943568427236
43,0.30461267730067,0.5767521245588112,83.5314748506173,79.68757059594272
44,0.30206731209254756,0.5851605021841608,83.65007737402718,79.63335291194144
45,0.30017442833517793,0.6181602905036052,83.68961154849714,79.67740478019248
46,0.29733531540552544,0.6383644598240108,83.83871186364098,79.62770523652465
