,precision,recall,f1-score,support
203,0.9696969696969697,0.7272727272727273,0.8311688311688312,44.0
204,0.9166666666666666,0.6875,0.7857142857142857,16.0
205,0.75,0.8366834170854272,0.7909738717339667,796.0
206,0.5978260869565217,0.7971014492753623,0.6832298136645962,69.0
207,0.5630252100840336,0.9436619718309859,0.7052631578947368,71.0
208,0.7674418604651163,0.868421052631579,0.8148148148148148,38.0
209,0.8666666666666667,0.8125,0.8387096774193549,16.0
210,0.6323529411764706,0.9555555555555556,0.7610619469026548,45.0
211,0.8076923076923077,0.7636363636363637,0.7850467289719626,55.0
212,1.0,1.0,1.0,21.0
213,1.0,0.8048780487804879,0.8918918918918919,41.0
214,0.75,0.8513513513513513,0.7974683544303798,74.0
215,0.9375,0.7142857142857143,0.8108108108108109,21.0
216,0.8072289156626506,0.8072289156626506,0.8072289156626506,83.0
217,0.8235294117647058,0.875,0.8484848484848485,16.0
218,0.7772277227722773,0.8263157894736842,0.8010204081632653,190.0
219,1.0,0.5555555555555556,0.7142857142857143,9.0
220,1.0,0.9047619047619048,0.95,21.0
221,0.9071428571428571,0.8141025641025641,0.8581081081081081,156.0
222,0.9012345679012346,0.8021978021978022,0.8488372093023255,91.0
223,0.8101694915254237,0.8659420289855072,0.8371278458844134,276.0
224,0.8006134969325154,0.90625,0.8501628664495114,288.0
225,0.8175675675675675,0.7908496732026143,0.8039867109634552,153.0
226,0.9142857142857143,0.8311688311688312,0.8707482993197279,77.0
227,1.0,1.0,1.0,1.0
228,0.8235294117647058,0.9424964936886395,0.8790058862001308,713.0
229,0.8362573099415205,0.9166666666666666,0.8746177370030581,156.0
230,0.6343873517786561,0.8675675675675676,0.7328767123287672,370.0
231,0.8008595988538681,0.8707165109034268,0.8343283582089552,642.0
232,0.7197213290460879,0.9148501362397821,0.8056388722255549,1468.0
233,0.7809278350515464,0.8145161290322581,0.7973684210526316,372.0
234,0.8854166666666666,0.7391304347826086,0.8056872037914692,115.0
235,0.7843137254901961,0.8080808080808081,0.7960199004975125,99.0
236,0.7845303867403315,0.8255813953488372,0.8045325779036827,172.0
237,0.7572463768115942,0.8600823045267489,0.8053949903660886,243.0
238,1.0,1.0,1.0,5.0
239,0.6805970149253732,0.7916666666666666,0.7319422150882825,288.0
240,1.0,0.9846153846153847,0.9922480620155039,65.0
241,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
242,1.0,1.0,1.0,9.0
243,1.0,0.5,0.6666666666666666,2.0
244,1.0,1.0,1.0,12.0
245,1.0,1.0,1.0,45.0
246,0.991304347826087,1.0,0.9956331877729258,114.0
247,0.9886792452830189,0.9812734082397003,0.9849624060150376,267.0
248,0.9047619047619048,0.9743589743589743,0.9382716049382716,78.0
249,0.9196428571428571,0.9809523809523809,0.9493087557603687,105.0
250,1.0,1.0,1.0,18.0
251,1.0,1.0,1.0,9.0
252,0.9950331125827815,0.9917491749174917,0.9933884297520661,606.0
253,1.0,0.9583333333333334,0.9787234042553191,48.0
254,1.0,0.9861111111111112,0.993006993006993,216.0
255,1.0,0.7777777777777778,0.875,18.0
256,0.9950617283950617,0.9950617283950617,0.9950617283950617,405.0
257,0.9985141158989599,0.9824561403508771,0.9904200442151806,684.0
258,1.0,0.9855072463768116,0.9927007299270073,69.0
259,1.0,0.8333333333333334,0.9090909090909091,6.0
260,0.8571428571428571,1.0,0.9230769230769231,48.0
261,1.0,0.8840579710144928,0.9384615384615385,69.0
262,1.0,0.9821428571428571,0.990990990990991,168.0
263,0.9893238434163701,0.9858156028368794,0.9875666074600356,282.0
264,0.9166666666666666,1.0,0.9565217391304348,33.0
265,0.9130434782608695,1.0,0.9545454545454546,42.0
266,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
267,1.0,0.9895833333333334,0.9947643979057592,96.0
268,1.0,0.125,0.2222222222222222,16.0
269,0.9979035639412998,0.9896049896049897,0.9937369519832986,481.0
270,0.9491525423728814,1.0,0.9739130434782609,56.0
271,0.8725490196078431,0.967391304347826,0.9175257731958762,92.0
272,0.8581314878892734,0.9393939393939394,0.8969258589511754,264.0
273,1.0,1.0,1.0,4.0
274,0.9375,1.0,0.967741935483871,15.0
275,0.9852941176470589,0.9178082191780822,0.950354609929078,73.0
276,0.8541666666666666,0.968503937007874,0.9077490774907749,127.0
277,0.9109947643979057,0.9133858267716536,0.9121887287024901,381.0
278,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
279,0.15789473684210525,1.0,0.2727272727272727,3.0
280,0.6892744479495269,0.9418103448275862,0.7959927140255009,464.0
281,1.0,1.0,1.0,2.0
282,0.8712715855572999,0.9359190556492412,0.9024390243902439,593.0
283,0.9908256880733946,0.972972972972973,0.9818181818181818,111.0
284,1.0,1.0,1.0,57.0
285,1.0,0.9333333333333333,0.9655172413793104,15.0
286,1.0,1.0,1.0,3.0
287,1.0,1.0,1.0,1.0
288,1.0,0.6666666666666666,0.8,9.0
289,1.0,0.6666666666666666,0.8,3.0
290,1.0,1.0,1.0,4.0
